id,proportion,fatals
06105,2.24332610484,3
06107,1.60781264798,73
06109,3.14354925202,17
06111,0.642220274418,54
06113,1.20586532896,25
06115,1.225540259,9
08001,0.933774187935,44
08003,2.45866371627,4
08005,0.608242507932,37
08007,2.46426811237,3
08009,5.40394487976,2
08011,1.69635284139,1
08013,0.612839964907,19
08014,0.164747359924,1
08015,1.63853842373,3
08019,4.37828371278,4
08021,2.42453630743,2
08023,5.58503211393,2
08031,0.78503326386,51
08033,5.37056928034,1
08035,0.423488634217,13
08037,1.3314059647,7
08039,1.25759798784,3
08041,0.732797576883,48
08043,1.9227071717,9
08045,1.4016399187,8
08047,8.92060660125,5
08049,2.77565748387,4
08051,5.75043128235,9
08053,11.4416475973,1
08055,3.07597662258,2
08057,7.49063670412,1
08059,0.995756267833,55
08063,1.25313283208,1
08065,1.3583265417,1
08067,1.31623481629,7
08069,1.03699560377,33
08071,0.689512514652,1
08073,7.30193501278,4
08075,2.73622765414,6
08077,1.3528687582,20
08079,13.6425648022,1
08081,3.04947777693,4
08083,1.1673151751,3
08085,1.71505573931,7
08087,2.4683521986,7
08089,4.30755976739,8
08091,6.55021834061,3
08093,1.85311013651,3
08095,2.28780599405,1
08099,3.2693093584,4
08101,0.742946650239,12
08103,1.48986889154,1
08105,4.25713069391,5
08107,1.69448445311,4
08109,1.60307790959,1
08113,1.30276185513,1
08115,4.22832980973,1
08117,1.03662750518,3
08119,2.14224507284,5
08121,4.17101147028,2
08123,2.02990979819,55
08125,2.94550810015,3
09001,0.37234715947,35
09003,0.691236789852,62
09005,1.1808656819,22
09007,1.21091030182,20
09009,0.73066859656,63
09011,1.06155169574,29
09013,1.1188038013,17
09015,1.53230612071,18
10001,1.5338418609,26
10003,1.09161765,60
10005,1.92955205449,40
11001,0.355221132877,23
12001,1.455443753,37
12003,4.42233278054,12
12005,1.82489036401,32
12007,3.67336443449,10
12009,1.48123795365,82
12011,1.21530942646,224
12013,2.73691412932,4
12015,1.38735576024,23
12017,2.07656064273,29
12019,1.67158856633,33
12021,1.34861371306,46
12023,3.24455062974,22
12027,4.57705180651,16
12029,3.7287924927,6
12031,1.49325285486,133
12033,1.59959781541,49
12035,1.1906769991,12
12037,0.859993120055,1
12039,2.58486989488,12
12041,1.76553672316,3
12043,10.5485232068,14
12045,1.26702565727,2
12047,3.47342827371,5
12049,0.728119994175,2
12051,2.60667830983,10
12053,2.00218524218,35
12055,2.23740948662,22
12057,1.45830327182,190
12059,4.58365164248,9
12061,1.67989584646,24
12063,6.13496932515,30
12065,3.52162276377,5
12067,4.54493807522,4
12069,1.96418738992,61
12071,1.43142351301,95
12073,1.0249522867,29
12075,5.27359935712,21
12079,3.73751935501,7
12081,1.62919043782,56
12083,2.07831691958,70
12085,1.97907458472,30
12086,1.28834630142,340
12087,2.76676196625,21
12089,1.97680548234,15
12091,1.7686501558,34
12093,1.52846771112,6
12095,1.14723780124,141
12097,1.62861036328,49
12099,1.35624591132,187
12101,1.46049974128,70
12103,1.10577072756,103
12105,1.78720742457,112
12107,2.75118300869,20
12109,1.75776146702,37
12111,1.24997395888,36
12113,1.17997031443,19
12115,1.47944842082,58
12117,1.0060684218,44
12119,1.56680583589,17
12121,2.75260924418,12
12123,1.76327970024,4
12125,1.9748535317,3
12127,1.74700577107,88
12129,0.642508352609,2
12131,1.51293559937,9
12133,2.03012708596,5
13001,2.17190639083,4
13003,4.82276344345,4
13005,5.34664052754,6
13007,6.07533414338,2
13009,1.09182225134,5
13011,3.81762652705,7
13013,1.66638893518,12
13015,2.86176679561,29
13019,1.05157999895,2
13021,1.35644894585,21
13023,3.92279930959,5
13025,1.08389334489,2
13027,3.83705314319,6
13029,2.41320020512,8
13031,2.0722239107,15
13033,1.30395097144,3
13035,3.41224141608,8
13039,0.971911750413,5
13043,2.71960837639,3
13045,2.3979750433,27
13047,1.37667304015,9
13049,2.284843869,3
13051,1.93347416664,54
13053,2.51804599631,3
13055,1.5847232677,4
13057,0.531105052579,12
13059,1.24064348042,15
13063,0.935509703107,25
13065,1.47253718156,1
13067,0.681376045877,49
13069,1.62779340976,7
13071,2.82461324526,13
13073,1.10128924261,15
13075,3.52257382728,6
13077,1.34916351862,18
13079,3.19004705319,4
13081,2.14463412542,5
13083,3.04043782305,5
13085,5.29263882151,12
13087,2.19154065308,6
13089,1.1586822293,83
13091,2.36071765817,5
13093,1.39928636395,2
13095,1.39320544422,13
13097,1.61148549663,22
13099,7.56215143208,8
13101,4.94071146245,2
13103,0.915248032217,5
13105,1.53554793469,3
13107,4.39927851832,10
13111,1.26358352287,3
13113,0.644240946114,7
13115,1.45577057056,14
13117,0.662467641004,13
13119,2.71370420624,6
13121,1.0570147667,104
13123,2.44132110348,7
13127,1.10101170742,9
13129,1.43140868507,8
13131,3.56534484808,9
13133,4.8986589921,8
13135,0.779764301692,67
13137,2.06768212833,9
13139,1.75610379106,33
13141,7.8819952708,7
13143,2.45055137406,7
13145,2.44081034904,8
13147,1.96093811279,5
13149,2.58242231213,3
13151,1.37108060063,29
13153,0.74540895846,11
13155,1.06292517007,1
13157,3.09345490068,19
13159,2.20701831825,3
13161,2.00133422282,3
13163,3.66434591425,6
13165,4.48329970859,4
13167,1.02103328569,1
13169,1.04391398149,3
13171,3.31235508447,6
13175,2.29712233221,11
13177,1.03641263042,3
13179,1.24171542987,8
13181,2.59067357513,2
13183,1.20569086086,2
13185,1.59006386757,18
13187,1.94042883477,6
13189,1.85339634881,4
13191,1.42785749982,2
13193,1.42399430402,2
13195,1.41683196373,4
13197,1.14429568601,1
13199,2.81729821102,6
13201,3.3692722372,2
13205,1.30536941955,3
13207,2.22924020063,6
13209,2.23015165031,2
13211,4.46927374302,8
13213,2.28420598462,9
13215,0.699003919415,14
13217,1.75361683472,18
13219,1.45348837209,5
13221,2.72331154684,4
13223,1.62822252374,24
13225,3.6919441778,10
13227,2.35373234701,7
13229,2.64075208619,5
13231,5.05277341118,9
13233,1.21315055198,5
13235,1.72562553926,2
13237,2.82392808396,6
13241,4.30345505963,7
13243,1.36705399863,1
13245,1.34134163972,27
13247,0.805514320894,7
13251,4.22356750669,6
