geoid,name,B01003001,"B01003001, Error"
05000US13049,"Charlton County, GA",13130,0
05000US13051,"Chatham County, GA",279290,0
05000US13053,"Chattahoochee County, GA",11914,0
05000US13055,"Chattooga County, GA",25241,0
05000US13057,"Cherokee County, GA",225944,0
05000US13059,"Clarke County, GA",120905,0
05000US13061,"Clay County, GA",3104,0
05000US13063,"Clayton County, GA",267234,0
05000US13065,"Clinch County, GA",6791,0
05000US13067,"Cobb County, GA",719133,0
05000US13069,"Coffee County, GA",43003,0
05000US13071,"Colquitt County, GA",46024,0
05000US13073,"Columbia County, GA",136204,0
05000US13075,"Cook County, GA",17033,0
05000US13077,"Coweta County, GA",133416,0
05000US13079,"Crawford County, GA",12539,0
05000US13081,"Crisp County, GA",23314,0
05000US13083,"Dade County, GA",16445,0
05000US13085,"Dawson County, GA",22673,0
05000US13087,"Decatur County, GA",27378,0
05000US13089,"DeKalb County, GA",716331,0
05000US13091,"Dodge County, GA",21180,0
05000US13093,"Dooly County, GA",14293,0
05000US13095,"Dougherty County, GA",93310,0
05000US13097,"Douglas County, GA",136520,0
05000US13099,"Early County, GA",10579,0
05000US13101,"Echols County, GA",4048,0
05000US13103,"Effingham County, GA",54630,0
05000US13105,"Elbert County, GA",19537,0
05000US13107,"Emanuel County, GA",22731,0
05000US13109,"Evans County, GA",10814,0
05000US13111,"Fannin County, GA",23742,0
05000US13113,"Fayette County, GA",108655,0
05000US13115,"Floyd County, GA",96169,0
05000US13117,"Forsyth County, GA",196236,0
05000US13119,"Franklin County, GA",22110,0
05000US13121,"Fulton County, GA",983903,0
05000US13123,"Gilmer County, GA",28673,0
05000US13125,"Glascock County, GA",3087,0
05000US13127,"Glynn County, GA",81743,0
05000US13129,"Gordon County, GA",55889,0
05000US13131,"Grady County, GA",25243,0
05000US13133,"Greene County, GA",16331,0
05000US13135,"Gwinnett County, GA",859234,0
05000US13137,"Habersham County, GA",43527,0
05000US13139,"Hall County, GA",187916,0
05000US13141,"Hancock County, GA",8881,0
05000US13143,"Haralson County, GA",28565,0
05000US13145,"Harris County, GA",32776,0
05000US13147,"Hart County, GA",25498,0
05000US13149,"Heard County, GA",11617,0
05000US13151,"Henry County, GA",211512,0
05000US13153,"Houston County, GA",147570,0
05000US13155,"Irwin County, GA",9408,0
05000US13157,"Jackson County, GA",61420,0
05000US13159,"Jasper County, GA",13593,0
05000US13161,"Jeff Davis County, GA",14990,0
05000US13163,"Jefferson County, GA",16374,0
05000US13165,"Jenkins County, GA",8922,0
05000US13167,"Johnson County, GA",9794,0
05000US13169,"Jones County, GA",28738,0
05000US13171,"Lamar County, GA",18114,0
05000US13173,"Lanier County, GA",10403,0
05000US13175,"Laurens County, GA",47886,0
05000US13177,"Lee County, GA",28946,0
05000US13179,"Liberty County, GA",64427,0
05000US13181,"Lincoln County, GA",7720,0
05000US13183,"Long County, GA",16588,0
05000US13185,"Lowndes County, GA",113203,0
05000US13187,"Lumpkin County, GA",30921,0
05000US13189,"McDuffie County, GA",21582,0
05000US13191,"McIntosh County, GA",14007,0
05000US13193,"Macon County, GA",14045,0
05000US13195,"Madison County, GA",28232,0
05000US13197,"Marion County, GA",8739,0
05000US13199,"Meriwether County, GA",21297,0
05000US13201,"Miller County, GA",5936,0
05000US13205,"Mitchell County, GA",22982,0
05000US13207,"Monroe County, GA",26915,0
05000US13209,"Montgomery County, GA",8968,0
05000US13211,"Morgan County, GA",17900,0
05000US13213,"Murray County, GA",39401,0
05000US13215,"Muscogee County, GA",200285,0
05000US13217,"Newton County, GA",102645,0
05000US13219,"Oconee County, GA",34400,0
05000US13221,"Oglethorpe County, GA",14688,0
05000US13223,"Paulding County, GA",147400,0
05000US13225,"Peach County, GA",27086,0
05000US13227,"Pickens County, GA",29740,0
05000US13229,"Pierce County, GA",18934,0
05000US13231,"Pike County, GA",17812,0
05000US13233,"Polk County, GA",41215,0
05000US13235,"Pulaski County, GA",11590,0
05000US13237,"Putnam County, GA",21247,0
05000US13239,"Quitman County, GA",2326,176
05000US13241,"Rabun County, GA",16266,0
05000US13243,"Randolph County, GA",7315,0
05000US13245,"Richmond County, GA",201291,0
05000US13247,"Rockdale County, GA",86901,0
05000US13249,"Schley County, GA",5074,0
05000US13251,"Screven County, GA",14206,0
05000US13253,"Seminole County, GA",8769,0
05000US13255,"Spalding County, GA",63873,0
05000US13257,"Stephens County, GA",25620,0
05000US13259,"Stewart County, GA",5868,0
05000US13261,"Sumter County, GA",31429,0
05000US13263,"Talbot County, GA",6490,0
05000US13265,"Taliaferro County, GA",1721,176
05000US13267,"Tattnall County, GA",25302,0
05000US13269,"Taylor County, GA",8401,0
05000US13271,"Telfair County, GA",16416,0
05000US13273,"Terrell County, GA",9213,0
05000US13275,"Thomas County, GA",44824,0
05000US13277,"Tift County, GA",40787,0
05000US13279,"Toombs County, GA",27210,0
05000US13281,"Towns County, GA",10800,0
05000US13283,"Treutlen County, GA",6762,0
05000US13285,"Troup County, GA",68867,0
05000US13287,"Turner County, GA",8338,0
05000US13289,"Twiggs County, GA",8509,0
05000US13291,"Union County, GA",21725,0
05000US13293,"Upson County, GA",26528,0
05000US13295,"Walker County, GA",68285,0
05000US13297,"Walton County, GA",86201,0
05000US13299,"Ware County, GA",35723,0
05000US13301,"Warren County, GA",5561,0
05000US13303,"Washington County, GA",20785,0
05000US13305,"Wayne County, GA",30046,0
05000US13307,"Webster County, GA",2720,0
05000US13309,"Wheeler County, GA",7956,0
05000US13311,"White County, GA",27791,0
05000US13313,"Whitfield County, GA",103456,0
05000US13315,"Wilcox County, GA",8972,0
05000US13317,"Wilkes County, GA",9991,0
05000US13319,"Wilkinson County, GA",9386,0
05000US13321,"Worth County, GA",21156,0
05000US15001,"Hawaii County, HI",191482,0
05000US15003,"Honolulu County, HI",984178,0
05000US15005,"Kalawao County, HI",85,21
05000US15007,"Kauai County, HI",69691,0
05000US15009,"Maui County, HI",160863,21
05000US16001,"Ada County, ID",417501,0
05000US16003,"Adams County, ID",3880,0
05000US16005,"Bannock County, ID",83604,0
05000US16007,"Bear Lake County, ID",5939,0
05000US16009,"Benewah County, ID",9088,0
05000US16011,"Bingham County, ID",45407,0
05000US16013,"Blaine County, ID",21309,0
05000US16015,"Boise County, ID",6885,0
05000US16017,"Bonner County, ID",41066,0
05000US16019,"Bonneville County, ID",107788,0
05000US16021,"Boundary County, ID",10961,0
05000US16023,"Butte County, ID",2653,0
05000US16025,"Camas County, ID",1052,119
05000US16027,"Canyon County, ID",198921,0
05000US16029,"Caribou County, ID",6808,0
05000US16031,"Cassia County, ID",23369,0
05000US16033,"Clark County, ID",901,119
05000US16035,"Clearwater County, ID",8560,0
05000US16037,"Custer County, ID",4234,0
05000US16039,"Elmore County, ID",26175,0
05000US16041,"Franklin County, ID",12914,0
05000US16043,"Fremont County, ID",12945,0
05000US16045,"Gem County, ID",16731,0
05000US16047,"Gooding County, ID",15233,0
05000US16049,"Idaho County, ID",16312,0
05000US16051,"Jefferson County, ID",26792,0
05000US16053,"Jerome County, ID",22653,0
05000US16055,"Kootenai County, ID",145046,0
05000US16057,"Latah County, ID",38339,0
05000US16059,"Lemhi County, ID",7790,0
05000US16061,"Lewis County, ID",3812,0
05000US16063,"Lincoln County, ID",5260,0
